{'pid': 1, 'username': 'root', 'name': 'systemd', 'vms': 16.500197550375347}

{'pid': 2, 'username': 'root', 'name': 'kthreadd', 'vms': 0.0}

{'pid': 3, 'username': 'root', 'name': 'pool_workqueue_release', 'vms': 0.0}

{'pid': 4, 'username': 'root', 'name': 'kworker/R-rcu_g', 'vms': 0.0}

{'pid': 5, 'username': 'root', 'name': 'kworker/R-rcu_p', 'vms': 0.0}

{'pid': 6, 'username': 'root', 'name': 'kworker/R-slub_', 'vms': 0.0}

{'pid': 7, 'username': 'root', 'name': 'kworker/R-netns', 'vms': 0.0}

{'pid': 10, 'username': 'root', 'name': 'kworker/0:0H-events_highpri', 'vms': 0.0}

{'pid': 12, 'username': 'root', 'name': 'kworker/R-mm_pe', 'vms': 0.0}

{'pid': 13, 'username': 'root', 'name': 'rcu_tasks_kthread', 'vms': 0.0}

{'pid': 14, 'username': 'root', 'name': 'rcu_tasks_rude_kthread', 'vms': 0.0}

{'pid': 15, 'username': 'root', 'name': 'rcu_tasks_trace_kthread', 'vms': 0.0}

{'pid': 16, 'username': 'root', 'name': 'ksoftirqd/0', 'vms': 0.0}

{'pid': 17, 'username': 'root', 'name': 'rcu_preempt', 'vms': 0.0}

{'pid': 18, 'username': 'root', 'name': 'migration/0', 'vms': 0.0}

{'pid': 19, 'username': 'root', 'name': 'idle_inject/0', 'vms': 0.0}

{'pid': 20, 'username': 'root', 'name': 'cpuhp/0', 'vms': 0.0}

{'pid': 21, 'username': 'root', 'name': 'cpuhp/2', 'vms': 0.0}

{'pid': 22, 'username': 'root', 'name': 'idle_inject/2', 'vms': 0.0}

{'pid': 23, 'username': 'root', 'name': 'migration/2', 'vms': 0.0}

{'pid': 24, 'username': 'root', 'name': 'ksoftirqd/2', 'vms': 0.0}

{'pid': 26, 'username': 'root', 'name': 'kworker/2:0H-events_highpri', 'vms': 0.0}

{'pid': 27, 'username': 'root', 'name': 'cpuhp/4', 'vms': 0.0}

{'pid': 28, 'username': 'root', 'name': 'idle_inject/4', 'vms': 0.0}

{'pid': 29, 'username': 'root', 'name': 'migration/4', 'vms': 0.0}

{'pid': 30, 'username': 'root', 'name': 'ksoftirqd/4', 'vms': 0.0}

{'pid': 32, 'username': 'root', 'name': 'kworker/4:0H-events_highpri', 'vms': 0.0}

{'pid': 33, 'username': 'root', 'name': 'cpuhp/6', 'vms': 0.0}

{'pid': 34, 'username': 'root', 'name': 'idle_inject/6', 'vms': 0.0}

{'pid': 35, 'username': 'root', 'name': 'migration/6', 'vms': 0.0}

{'pid': 36, 'username': 'root', 'name': 'ksoftirqd/6', 'vms': 0.0}

{'pid': 38, 'username': 'root', 'name': 'kworker/6:0H-events_highpri', 'vms': 0.0}

{'pid': 39, 'username': 'root', 'name': 'cpuhp/1', 'vms': 0.0}

{'pid': 40, 'username': 'root', 'name': 'idle_inject/1', 'vms': 0.0}

{'pid': 41, 'username': 'root', 'name': 'migration/1', 'vms': 0.0}

{'pid': 42, 'username': 'root', 'name': 'ksoftirqd/1', 'vms': 0.0}

{'pid': 44, 'username': 'root', 'name': 'kworker/1:0H-events_highpri', 'vms': 0.0}

{'pid': 45, 'username': 'root', 'name': 'cpuhp/3', 'vms': 0.0}

{'pid': 46, 'username': 'root', 'name': 'idle_inject/3', 'vms': 0.0}

{'pid': 47, 'username': 'root', 'name': 'migration/3', 'vms': 0.0}

{'pid': 48, 'username': 'root', 'name': 'ksoftirqd/3', 'vms': 0.0}

{'pid': 50, 'username': 'root', 'name': 'kworker/3:0H-events_highpri', 'vms': 0.0}

{'pid': 51, 'username': 'root', 'name': 'cpuhp/5', 'vms': 0.0}

{'pid': 52, 'username': 'root', 'name': 'idle_inject/5', 'vms': 0.0}

{'pid': 53, 'username': 'root', 'name': 'migration/5', 'vms': 0.0}

{'pid': 54, 'username': 'root', 'name': 'ksoftirqd/5', 'vms': 0.0}

{'pid': 55, 'username': 'root', 'name': 'kworker/5:0-cgroup_destroy', 'vms': 0.0}

{'pid': 56, 'username': 'root', 'name': 'kworker/5:0H-events_highpri', 'vms': 0.0}

{'pid': 57, 'username': 'root', 'name': 'cpuhp/7', 'vms': 0.0}

{'pid': 58, 'username': 'root', 'name': 'idle_inject/7', 'vms': 0.0}

{'pid': 59, 'username': 'root', 'name': 'migration/7', 'vms': 0.0}

{'pid': 60, 'username': 'root', 'name': 'ksoftirqd/7', 'vms': 0.0}

{'pid': 62, 'username': 'root', 'name': 'kworker/7:0H-events_highpri', 'vms': 0.0}

{'pid': 63, 'username': 'root', 'name': 'kdevtmpfs', 'vms': 0.0}

{'pid': 64, 'username': 'root', 'name': 'kworker/R-inet_', 'vms': 0.0}

{'pid': 66, 'username': 'root', 'name': 'kauditd', 'vms': 0.0}

{'pid': 67, 'username': 'root', 'name': 'khungtaskd', 'vms': 0.0}

{'pid': 68, 'username': 'root', 'name': 'oom_reaper', 'vms': 0.0}

{'pid': 70, 'username': 'root', 'name': 'kworker/R-write', 'vms': 0.0}

{'pid': 71, 'username': 'root', 'name': 'kcompactd0', 'vms': 0.0}

{'pid': 72, 'username': 'root', 'name': 'ksmd', 'vms': 0.0}

{'pid': 73, 'username': 'root', 'name': 'khugepaged', 'vms': 0.0}

{'pid': 74, 'username': 'root', 'name': 'kworker/R-kinte', 'vms': 0.0}

{'pid': 75, 'username': 'root', 'name': 'kworker/R-kbloc', 'vms': 0.0}

{'pid': 76, 'username': 'root', 'name': 'kworker/R-blkcg', 'vms': 0.0}

{'pid': 77, 'username': 'root', 'name': 'irq/9-acpi', 'vms': 0.0}

{'pid': 80, 'username': 'root', 'name': 'kworker/R-tpm_d', 'vms': 0.0}

{'pid': 81, 'username': 'root', 'name': 'kworker/R-ata_s', 'vms': 0.0}

{'pid': 82, 'username': 'root', 'name': 'kworker/R-md', 'vms': 0.0}

{'pid': 83, 'username': 'root', 'name': 'kworker/R-md_bi', 'vms': 0.0}

{'pid': 84, 'username': 'root', 'name': 'kworker/R-edac-', 'vms': 0.0}

{'pid': 85, 'username': 'root', 'name': 'kworker/R-devfr', 'vms': 0.0}

{'pid': 86, 'username': 'root', 'name': 'watchdogd', 'vms': 0.0}

{'pid': 87, 'username': 'root', 'name': 'kworker/2:1H-kblockd', 'vms': 0.0}

{'pid': 89, 'username': 'root', 'name': 'irq/25-AMD-Vi', 'vms': 0.0}

{'pid': 90, 'username': 'root', 'name': 'kswapd0', 'vms': 0.0}

{'pid': 91, 'username': 'root', 'name': 'ecryptfs-kthread', 'vms': 0.0}

{'pid': 92, 'username': 'root', 'name': 'kworker/R-kthro', 'vms': 0.0}

